Payroll_ID,Consultant_ID,EffectiveDate,Amount
1,93,2024-06-08,10972.15
2,61,2024-06-08,18221.92
3,8,2024-06-08,16829.7
4,65,2024-06-08,15123.1
5,18,2024-06-08,20302.02
6,43,2024-06-08,23385.53
7,93,2024-06-08,12097.15
8,46,2024-06-08,21808.79
9,50,2024-06-08,7255.37
10,73,2024-06-08,15741.91
1,38,2024-06-08,31325.42
2,54,2024-06-08,14650.14
3,86,2024-06-08,18513.57
4,87,2024-06-08,35168.38
5,67,2024-06-08,11096.9
6,98,2024-06-08,22031.53
7,71,2024-06-08,30399.44
8,1,2024-06-08,28938.8
9,66,2024-06-08,12829.57
10,44,2024-06-08,14144.74
1,40,2024-06-08,22607.62
2,35,2024-06-08,13339.09
3,64,2024-06-08,16553.12
4,91,2024-06-08,28567.03
5,10,2024-06-08,5045.45
6,1,2024-06-08,21854.35
7,34,2024-06-08,30996.21
8,87,2024-06-08,24440.11
9,75,2024-06-08,14618.5
10,92,2024-06-08,18433.35
1,12,2024-06-08,8253.99
2,48,2024-06-08,18954.53
3,44,2024-06-08,25875.1
4,50,2024-06-08,10976.0
5,96,2024-06-08,18375.51
6,39,2024-06-08,13404.75
7,18,2024-06-08,18293.36
8,36,2024-06-08,13990.85
9,39,2024-06-08,14154.75
10,29,2024-06-08,25332.86
1,30,2024-06-08,18057.42
2,25,2024-06-08,13680.79
3,54,2024-06-08,14678.0
4,88,2024-06-08,22274.94
5,36,2024-06-08,10859.26
6,59,2024-06-08,15984.96
7,89,2024-06-08,19441.04
8,9,2024-06-08,19721.66
9,66,2024-06-08,42256.3
10,70,2024-06-08,15600.17
