Billing_Rate_ID,Project_ID,Title_ID,Rate
1,2,5,"Senior Consultant (Time and Materials),269.58"
2,3,3,"Consultant (Time and Materials),162.34"
3,2,6,"Senior Consultant (Fixed Price),183.67"
4,4,6,"Senior Consultant (Fixed Price),223.96"
5,2,1,"Junior Consultant (Time and Materials),127.5"
6,3,5,"Senior Consultant (Time and Materials),238.42"
7,2,2,"Junior Consultant (Fixed Price),108.77"
8,5,4,"Consultant (Fixed Price),161.14"
9,5,4,"Consultant (Fixed Price),153.44"
10,5,6,"Senior Consultant (Fixed Price),202.73"
11,3,3,"Consultant (Time and Materials),156.93"
12,3,5,"Senior Consultant (Time and Materials),234.62"
13,5,5,"Senior Consultant (Time and Materials),291.09"
14,4,6,"Senior Consultant (Fixed Price),191.96"
15,3,3,"Consultant (Time and Materials),159.37"
16,3,6,"Senior Consultant (Fixed Price),206.88"
17,3,4,"Consultant (Fixed Price),165.35"
18,2,2,"Junior Consultant (Fixed Price),108.02"
19,2,5,"Senior Consultant (Time and Materials),268.9"
20,4,6,"Senior Consultant (Fixed Price),238.16"
21,1,1,"Junior Consultant (Time and Materials),123.45"
22,1,6,"Senior Consultant (Fixed Price),222.15"
23,4,4,"Consultant (Fixed Price),171.45"
24,3,2,"Junior Consultant (Fixed Price),80.76"
25,4,3,"Consultant (Time and Materials),154.41"
26,1,4,"Consultant (Fixed Price),171.08"
27,4,4,"Consultant (Fixed Price),138.94"
28,4,5,"Senior Consultant (Time and Materials),265.57"
29,4,2,"Junior Consultant (Fixed Price),106.61"
30,2,2,"Junior Consultant (Fixed Price),99.67"
31,2,3,"Consultant (Time and Materials),190.36"
32,5,5,"Senior Consultant (Time and Materials),239.48"
33,3,4,"Consultant (Fixed Price),121.92"
34,3,2,"Junior Consultant (Fixed Price),115.58"
35,1,5,"Senior Consultant (Time and Materials),209.93"
36,1,3,"Consultant (Time and Materials),172.93"
37,2,2,"Junior Consultant (Fixed Price),81.88"
38,1,1,"Junior Consultant (Time and Materials),141.47"
39,1,5,"Senior Consultant (Time and Materials),245.03"
40,3,3,"Consultant (Time and Materials),179.66"
41,1,3,"Consultant (Time and Materials),155.04"
42,5,1,"Junior Consultant (Time and Materials),111.14"
43,5,3,"Consultant (Time and Materials),165.97"
44,4,6,"Senior Consultant (Fixed Price),183.79"
45,1,3,"Consultant (Time and Materials),162.47"
46,1,5,"Senior Consultant (Time and Materials),271.68"
47,1,1,"Junior Consultant (Time and Materials),117.8"
48,4,2,"Junior Consultant (Fixed Price),93.5"
49,5,4,"Consultant (Fixed Price),170.28"
50,1,4,"Consultant (Fixed Price),146.04"
51,3,6,"Senior Consultant (Fixed Price),201.71"
52,2,6,"Senior Consultant (Fixed Price),245.33"
53,3,6,"Senior Consultant (Fixed Price),217.45"
54,1,5,"Senior Consultant (Time and Materials),204.42"
55,5,1,"Junior Consultant (Time and Materials),127.78"
56,5,6,"Senior Consultant (Fixed Price),185.53"
57,4,1,"Junior Consultant (Time and Materials),126.47"
58,5,2,"Junior Consultant (Fixed Price),87.06"
59,5,3,"Consultant (Time and Materials),191.19"
60,2,5,"Senior Consultant (Time and Materials),293.72"
61,1,5,"Senior Consultant (Time and Materials),269.01"
62,5,3,"Consultant (Time and Materials),195.1"
63,5,2,"Junior Consultant (Fixed Price),81.87"
64,2,2,"Junior Consultant (Fixed Price),87.61"
65,1,3,"Consultant (Time and Materials),168.12"
66,4,1,"Junior Consultant (Time and Materials),143.91"
67,1,2,"Junior Consultant (Fixed Price),80.7"
68,1,1,"Junior Consultant (Time and Materials),106.37"
69,2,5,"Senior Consultant (Time and Materials),252.89"
70,5,3,"Consultant (Time and Materials),184.39"
71,4,3,"Consultant (Time and Materials),196.06"
72,2,6,"Senior Consultant (Fixed Price),213.1"
73,1,6,"Senior Consultant (Fixed Price),211.69"
74,2,6,"Senior Consultant (Fixed Price),231.58"
75,2,2,"Junior Consultant (Fixed Price),101.75"
76,4,1,"Junior Consultant (Time and Materials),112.33"
77,2,6,"Senior Consultant (Fixed Price),191.41"
78,4,6,"Senior Consultant (Fixed Price),245.73"
79,3,5,"Senior Consultant (Time and Materials),216.71"
80,3,4,"Consultant (Fixed Price),170.38"
81,2,2,"Junior Consultant (Fixed Price),104.63"
82,2,4,"Consultant (Fixed Price),157.45"
83,1,6,"Senior Consultant (Fixed Price),225.66"
84,2,2,"Junior Consultant (Fixed Price),85.68"
85,4,4,"Consultant (Fixed Price),149.11"
86,5,2,"Junior Consultant (Fixed Price),91.87"
87,3,5,"Senior Consultant (Time and Materials),234.02"
88,2,4,"Consultant (Fixed Price),131.01"
89,2,4,"Consultant (Fixed Price),135.73"
90,4,4,"Consultant (Fixed Price),161.45"
91,2,1,"Junior Consultant (Time and Materials),109.3"
92,5,3,"Consultant (Time and Materials),186.34"
93,4,2,"Junior Consultant (Fixed Price),84.58"
94,2,4,"Consultant (Fixed Price),165.37"
95,1,5,"Senior Consultant (Time and Materials),242.68"
96,4,1,"Junior Consultant (Time and Materials),125.51"
97,5,2,"Junior Consultant (Fixed Price),107.74"
98,3,5,"Senior Consultant (Time and Materials),250.82"
99,2,4,"Consultant (Fixed Price),132.3"
100,5,6,"Senior Consultant (Fixed Price),231.15"
